"date","region","lat","long","confirmed","deaths","recovered","active","d_active"
"2020-03-20","Malta","35.94","14.38","64","0","2","62","11"
"2020-03-20","Martinique","14.64","-61.02","32","1","0","31","9"
"2020-03-20","Mauritania","21.01","10.94","2","0","0","2","0"
"2020-03-20","Mauritius","-20.2","57.5","12","0","0","12","9"
"2020-03-20","Mexico","23.63","-102.55","164","1","4","159","46"
"2020-03-20","Moldova","47.41","28.37","66","1","1","64","17"
"2020-03-20","Monaco","43.73","7.42","11","0","0","11","4"
"2020-03-20","Mongolia","46.86","103.85","6","0","0","6","0"
"2020-03-20","Montenegro","42.5","19.3","14","0","0","14","11"
"2020-03-20","Morocco","31.79","-7.09","77","3","1","73","13"
"2020-03-20","Namibia","-22.96","18.49","3","0","0","3","0"
"2020-03-20","Nepal","28.17","84.25","1","0","1","0","0"
"2020-03-20","Netherlands","23.72","-49.2","3003","107","2","2894","506"
"2020-03-20","New Zealand","-40.9","174.89","39","0","0","39","11"
"2020-03-20","Nicaragua","12.87","-85.21","1","0","0","1","0"
"2020-03-20","Niger","17.61","8.08","1","0","0","1","1"
"2020-03-20","Nigeria","9.08","8.68","12","0","1","11","4"
"2020-03-20","North Macedonia","41.61","21.75","67","0","1","66","19"
"2020-03-20","Norway","60.47","8.47","1914","7","1","1906","168"
"2020-03-20","Oman","21","57","48","0","12","36","0"
"2020-03-20","Pakistan","30.38","69.35","501","3","13","485","46"
"2020-03-20","Panama","8.54","-80.78","137","1","0","136","28"
"2020-03-20","Papua New Guinea","-6.32","143.96","1","0","0","1","1"
"2020-03-20","Paraguay","-23.44","-58.44","13","0","0","13","2"
"2020-03-20","Peru","-9.19","-75.02","234","3","1","230","-3"
"2020-03-20","Philippines","13","122","230","18","8","204","12"
"2020-03-20","Poland","51.92","19.15","425","5","1","419","70"
"2020-03-20","Portugal","39.4","-8.22","1020","6","5","1009","230"
"2020-03-20","Qatar","25.35","51.18","470","0","10","460","4"
"2020-03-20","Romania","45.94","24.97","308","0","25","283","31"
"2020-03-20","Russia","60","90","253","1","9","243","54"
"2020-03-20","Rwanda","-1.94","29.87","17","0","0","17","9"
"2020-03-20","Saint Lucia","13.91","-60.98","2","0","0","2","0"
"2020-03-20","Saint Vincent and the Grenadines","12.98","-61.29","1","0","0","1","0"
"2020-03-20","San Marino","43.94","12.46","144","14","4","126","22"
"2020-03-20","Saudi Arabia","24","45","344","0","8","336","68"
"2020-03-20","Senegal","14.5","-14.45","38","0","2","36","7"
"2020-03-20","Serbia","44.02","21.01","135","1","1","133","31"
"2020-03-20","Seychelles","-4.68","55.49","7","0","0","7","1"
"2020-03-20","Singapore","1.28","103.83","385","0","124","261","30"
"2020-03-20","Slovakia","48.67","19.7","137","1","0","136","14"
"2020-03-20","Slovenia","46.15","15","341","1","0","340","55"
"2020-03-20","Somalia","5.15","46.2","1","0","0","1","0"
"2020-03-20","South Africa","-30.56","22.94","202","0","0","202","52"
"2020-03-20","Spain","40","-4","20410","1043","1588","17779","1753"
"2020-03-20","Sri Lanka","7","81","73","0","3","70","13"
"2020-03-20","Sudan","12.86","30.22","2","1","0","1","0"
"2020-03-20","Suriname","3.92","-56.03","4","0","0","4","3"
"2020-03-20","Sweden","63","16","1639","16","16","1607","195"
"2020-03-20","Switzerland","46.82","8.23","5294","54","15","5225","1206"
"2020-03-20","Taiwan*","23.7","121","135","2","26","107","26"
"2020-03-20","Tanzania","-6.37","34.89","6","0","0","6","0"
"2020-03-20","Thailand","15","101","322","1","42","279","50"
"2020-03-20","Togo","8.62","0.82","9","0","1","8","7"
"2020-03-20","Trinidad and Tobago","10.69","-61.22","9","0","0","9","0"
"2020-03-20","Tunisia","34","9","54","1","0","53","15"
"2020-03-20","Turkey","38.96","35.24","359","4","0","355","166"
"2020-03-20","Ukraine","48.38","31.17","29","3","0","26","12"
"2020-03-20","United Arab Emirates","24","54","140","2","31","107","-2"
"2020-03-20","United Kingdom","37.64","-31.98","4014","178","67","3769","1258"
"2020-03-20","Uruguay","-32.52","-55.77","94","0","0","94","15"
"2020-03-20","US","38.59","-92.92","19100","244","0","18856","5379"
"2020-03-20","Uzbekistan","41.38","64.59","33","0","0","33","10"
"2020-03-20","Venezuela","6.42","-66.59","42","0","0","42","0"
"2020-03-20","Vietnam","16","108","91","0","16","75","6"
"2020-03-20","Zambia","-15.42","28.28","2","0","0","2","0"
"2020-03-20","Zimbabwe","-20","30","1","0","0","1","1"
