"Date","Region","Lat","Long","Confirmed","Deaths","Recovered","Active","Change"
"2020-04-05","Laos","19.86","102.5","11","0","0","11","1"
"2020-04-05","Latvia","56.88","24.6","533","1","1","531","24"
"2020-04-05","Lebanon","33.85","35.86","527","18","54","455","6"
"2020-04-05","Liberia","6.43","-9.43","13","3","3","7","1"
"2020-04-05","Libya","26.34","17.23","18","1","0","17","0"
"2020-04-05","Liechtenstein","47.14","9.55","77","1","0","76","0"
"2020-04-05","Lithuania","55.17","23.88","811","13","7","791","38"
"2020-04-05","Luxembourg","49.82","6.13","2804","36","500","2268","70"
"2020-04-05","Madagascar","-18.77","46.87","72","0","2","70","0"
"2020-04-05","Malawi","-13.25","34.3","4","0","0","4","0"
"2020-04-05","Malaysia","2.5","112.5","3662","61","1005","2596","85"
"2020-04-05","Maldives","3.2","73.22","19","0","13","6","0"
"2020-04-05","Mali","17.57","-4","45","5","1","39","2"
"2020-04-05","Malta","35.94","14.38","227","0","5","222","11"
"2020-04-05","Mauritania","21.01","10.94","6","1","2","3","0"
"2020-04-05","Mauritius","-20.2","57.5","227","7","7","213","31"
"2020-04-05","Mexico","23.63","-102.55","1890","79","633","1178","183"
"2020-04-05","Moldova","47.41","28.37","864","15","30","819","108"
"2020-04-05","Monaco","43.73","7.42","73","1","3","69","7"
"2020-04-05","Mongolia","46.86","103.85","14","0","2","12","0"
"2020-04-05","Montenegro","42.5","19.3","214","2","1","211","13"
"2020-04-05","Morocco","31.79","-7.09","1021","70","76","875","81"
"2020-04-05","Mozambique","-18.67","35.53","10","0","1","9","0"
"2020-04-05","MS Zaandam","0","0","9","2","0","7","0"
"2020-04-05","Namibia","-22.96","18.49","16","0","3","13","2"
"2020-04-05","Nepal","28.17","84.25","9","0","1","8","0"
"2020-04-05","Netherlands","21.41","-53.01","17953","1771","257","15925","1116"
"2020-04-05","New Zealand","-40.9","174.89","1039","1","156","882","60"
"2020-04-05","Nicaragua","12.86","-85.21","6","1","0","5","1"
"2020-04-05","Niger","17.61","8.08","184","10","13","161","25"
"2020-04-05","Nigeria","9.08","8.68","232","5","33","194","9"
"2020-04-05","North Macedonia","41.61","21.74","555","18","23","514","68"
"2020-04-05","Norway","60.47","8.47","5687","71","32","5584","128"
"2020-04-05","Oman","21","57","298","2","61","235","21"
"2020-04-05","Pakistan","30.38","69.34","3157","47","211","2899","253"
"2020-04-05","Panama","8.54","-80.78","1801","46","13","1742","123"
"2020-04-05","Papua New Guinea","-6.32","143.96","1","0","0","1","0"
"2020-04-05","Paraguay","-23.44","-58.44","104","3","12","89","8"
"2020-04-05","Peru","-9.19","-75.02","2281","83","989","1209","450"
"2020-04-05","Philippines","13","122","3246","152","64","3030","137"
"2020-04-05","Poland","51.92","19.14","4102","94","134","3874","442"
"2020-04-05","Portugal","39.4","-8.22","11278","295","75","10908","725"
"2020-04-05","Qatar","25.36","51.18","1604","4","123","1477","264"
"2020-04-05","Romania","45.94","24.97","3864","151","374","3339","201"
"2020-04-05","Russia","60","90","5389","45","355","4989","634"
"2020-04-05","Rwanda","-1.94","29.87","104","0","4","100","-2"
"2020-04-05","Saint Kitts and Nevis","17.36","-62.78","10","0","0","10","1"
"2020-04-05","Saint Lucia","13.91","-60.98","14","0","1","13","0"
"2020-04-05","Saint Vincent and the Grenadines","12.98","-61.29","7","0","1","6","0"
"2020-04-05","San Marino","43.94","12.46","266","32","35","199","-1"
"2020-04-05","Saudi Arabia","24","45","2402","34","488","1880","150"
"2020-04-05","Senegal","14.5","-14.45","222","2","82","138","-7"
"2020-04-05","Serbia","44.02","21.01","1908","51","0","1857","277"
"2020-04-05","Seychelles","-4.68","55.49","10","0","0","10","0"
"2020-04-05","Sierra Leone","8.46","-11.78","6","0","0","6","2"
"2020-04-05","Singapore","1.28","103.83","1309","6","320","983","97"
"2020-04-05","Slovakia","48.67","19.7","485","1","10","474","14"
"2020-04-05","Slovenia","46.15","15","997","28","79","890","14"
"2020-04-05","Somalia","5.15","46.2","7","0","1","6","0"
"2020-04-05","South Africa","-30.56","22.94","1655","11","95","1549","68"
"2020-04-05","South Sudan","6.88","31.31","1","0","0","1","1"
"2020-04-05","Spain","40","-4","131646","12641","38080","80925","923"
"2020-04-05","Sri Lanka","7","81","176","5","33","138","4"
"2020-04-05","Sudan","12.86","30.22","12","2","2","8","2"
"2020-04-05","Suriname","3.92","-56.03","10","1","0","9","0"
"2020-04-05","Sweden","63","16","6830","401","205","6224","359"
"2020-04-05","Switzerland","46.82","8.23","21100","715","6415","13970","546"
"2020-04-05","Syria","34.8","39","19","2","2","15","3"
"2020-04-05","Taiwan*","23.7","121","363","5","50","308","8"
"2020-04-05","Tanzania","-6.37","34.89","22","1","3","18","2"
"2020-04-05","Thailand","15","101","2169","23","793","1353","-20"
"2020-04-05","Timor-Leste","-8.87","125.73","1","0","0","1","0"
"2020-04-05","Togo","8.62","0.82","44","3","20","21","0"
"2020-04-05","Trinidad and Tobago","10.69","-61.22","104","7","1","96","0"
"2020-04-05","Tunisia","34","9","574","22","5","547","17"
"2020-04-05","Turkey","38.96","35.24","27069","574","1042","25453","2806"
"2020-04-05","Uganda","1","32","52","0","0","52","4"
"2020-04-05","Ukraine","48.38","31.17","1308","37","28","1243","75"
"2020-04-05","United Arab Emirates","24","54","1799","10","144","1645","275"
"2020-04-05","United Kingdom","24.55","-43.9","48436","4943","229","43264","5322"
"2020-04-05","Uruguay","-32.52","-55.77","400","5","93","302","0"
"2020-04-05","US","37.73","-80.43","337070","9619","0","327451","27010"
"2020-04-05","Uzbekistan","41.38","64.58","342","2","30","310","71"
"2020-04-05","Venezuela","6.42","-66.59","159","7","52","100","4"
"2020-04-05","Vietnam","16","108","241","0","90","151","1"
"2020-04-05","West Bank and Gaza","31.95","35.23","237","1","25","211","16"
"2020-04-05","Western Sahara","24.22","-12.89","4","0","0","4","4"
"2020-04-05","Zambia","-15.42","28.28","39","1","3","35","-1"
"2020-04-05","Zimbabwe","-20","30","9","1","0","8","0"
