"date","region/province","lat","long","confirmed","deaths","recovered","active"
"2020-02-11","Albania","41.153","20.168","0","0","0","0"
"2020-02-12","Albania","41.153","20.168","0","0","0","0"
"2020-02-13","Albania","41.153","20.168","0","0","0","0"
"2020-02-14","Albania","41.153","20.168","0","0","0","0"
"2020-02-15","Albania","41.153","20.168","0","0","0","0"
"2020-02-16","Albania","41.153","20.168","0","0","0","0"
"2020-02-17","Albania","41.153","20.168","0","0","0","0"
"2020-02-18","Albania","41.153","20.168","0","0","0","0"
"2020-02-19","Albania","41.153","20.168","0","0","0","0"
"2020-02-20","Albania","41.153","20.168","0","0","0","0"
"2020-02-21","Albania","41.153","20.168","0","0","0","0"
"2020-02-22","Albania","41.153","20.168","0","0","0","0"
"2020-02-23","Albania","41.153","20.168","0","0","0","0"
"2020-02-24","Albania","41.153","20.168","0","0","0","0"
"2020-02-25","Albania","41.153","20.168","0","0","0","0"
"2020-02-26","Albania","41.153","20.168","0","0","0","0"
"2020-02-27","Albania","41.153","20.168","0","0","0","0"
"2020-02-28","Albania","41.153","20.168","0","0","0","0"
"2020-02-29","Albania","41.153","20.168","0","0","0","0"
"2020-03-01","Albania","41.153","20.168","0","0","0","0"
"2020-03-02","Albania","41.153","20.168","0","0","0","0"
"2020-03-03","Albania","41.153","20.168","0","0","0","0"
"2020-03-04","Albania","41.153","20.168","0","0","0","0"
"2020-03-05","Albania","41.153","20.168","0","0","0","0"
"2020-03-06","Albania","41.153","20.168","0","0","0","0"
"2020-03-07","Albania","41.153","20.168","0","0","0","0"
"2020-03-08","Albania","41.153","20.168","0","0","0","0"
"2020-03-09","Albania","41.153","20.168","2","0","0","2"
"2020-03-10","Albania","41.153","20.168","10","0","0","10"
"2020-03-11","Albania","41.153","20.168","12","1","0","11"
"2020-03-12","Albania","41.153","20.168","23","1","0","22"
"2020-03-13","Albania","41.153","20.168","33","1","0","32"
"2020-03-14","Albania","41.153","20.168","38","1","0","37"
"2020-03-15","Albania","41.153","20.168","42","1","0","41"
"2020-03-16","Albania","41.153","20.168","51","1","0","50"
"2020-03-17","Albania","41.153","20.168","55","1","0","54"
"2020-03-18","Albania","41.153","20.168","59","2","0","57"
"2020-03-19","Albania","41.153","20.168","64","2","0","62"
"2020-03-20","Albania","41.153","20.168","70","2","0","68"
"2020-03-21","Albania","41.153","20.168","76","2","2","72"
"2020-03-22","Albania","41.153","20.168","89","2","2","85"
"2020-03-23","Albania","41.153","20.168","104","4","2","98"
"2020-03-24","Albania","41.153","20.168","123","5","10","108"
"2020-03-25","Albania","41.153","20.168","146","5","17","124"
"2020-03-26","Albania","41.153","20.168","174","6","17","151"
"2020-03-27","Albania","41.153","20.168","186","8","31","147"
"2020-03-28","Albania","41.153","20.168","197","10","31","156"
"2020-03-29","Albania","41.153","20.168","212","10","33","169"
"2020-03-30","Albania","41.153","20.168","223","11","44","168"
"2020-03-31","Albania","41.153","20.168","243","15","52","176"
"2020-04-01","Albania","41.153","20.168","259","15","67","177"
"2020-04-02","Albania","41.153","20.168","277","16","76","185"
"2020-04-03","Albania","41.153","20.168","304","17","89","198"
"2020-04-04","Albania","41.153","20.168","333","20","99","214"
"2020-04-05","Albania","41.153","20.168","361","20","104","237"
"2020-04-06","Albania","41.153","20.168","377","21","116","240"
"2020-04-07","Albania","41.153","20.168","383","22","131","230"
"2020-04-08","Albania","41.153","20.168","400","22","154","224"
"2020-04-09","Albania","41.153","20.168","409","23","165","221"
"2020-04-10","Albania","41.153","20.168","416","23","182","211"
"2020-04-11","Albania","41.153","20.168","433","23","197","213"
"2020-04-12","Albania","41.153","20.168","446","23","217","206"
"2020-04-13","Albania","41.153","20.168","467","23","232","212"
"2020-04-14","Albania","41.153","20.168","475","24","248","203"
"2020-04-15","Albania","41.153","20.168","494","25","251","218"
"2020-04-16","Albania","41.153","20.168","518","26","277","215"
"2020-04-17","Albania","41.153","20.168","539","26","283","230"
"2020-04-18","Albania","41.153","20.168","548","26","302","220"
"2020-04-19","Albania","41.153","20.168","562","26","314","222"
"2020-04-20","Albania","41.153","20.168","584","26","327","231"
"2020-04-21","Albania","41.153","20.168","609","26","345","238"
"2020-04-22","Albania","41.153","20.168","634","27","356","251"
"2020-01-22","Algeria","28.034","1.66","0","0","0","0"
"2020-01-23","Algeria","28.034","1.66","0","0","0","0"
"2020-01-24","Algeria","28.034","1.66","0","0","0","0"
"2020-01-25","Algeria","28.034","1.66","0","0","0","0"
"2020-01-26","Algeria","28.034","1.66","0","0","0","0"
"2020-01-27","Algeria","28.034","1.66","0","0","0","0"
"2020-01-28","Algeria","28.034","1.66","0","0","0","0"
"2020-01-29","Algeria","28.034","1.66","0","0","0","0"
"2020-01-30","Algeria","28.034","1.66","0","0","0","0"
"2020-01-31","Algeria","28.034","1.66","0","0","0","0"
"2020-02-01","Algeria","28.034","1.66","0","0","0","0"
"2020-02-02","Algeria","28.034","1.66","0","0","0","0"
"2020-02-03","Algeria","28.034","1.66","0","0","0","0"
"2020-02-04","Algeria","28.034","1.66","0","0","0","0"
"2020-02-05","Algeria","28.034","1.66","0","0","0","0"
"2020-02-06","Algeria","28.034","1.66","0","0","0","0"
"2020-02-07","Algeria","28.034","1.66","0","0","0","0"
"2020-02-08","Algeria","28.034","1.66","0","0","0","0"
"2020-02-09","Algeria","28.034","1.66","0","0","0","0"
"2020-02-10","Algeria","28.034","1.66","0","0","0","0"
"2020-02-11","Algeria","28.034","1.66","0","0","0","0"
"2020-02-12","Algeria","28.034","1.66","0","0","0","0"
"2020-02-13","Algeria","28.034","1.66","0","0","0","0"
"2020-02-14","Algeria","28.034","1.66","0","0","0","0"
"2020-02-15","Algeria","28.034","1.66","0","0","0","0"
"2020-02-16","Algeria","28.034","1.66","0","0","0","0"
"2020-02-17","Algeria","28.034","1.66","0","0","0","0"
"2020-02-18","Algeria","28.034","1.66","0","0","0","0"
"2020-02-19","Algeria","28.034","1.66","0","0","0","0"
"2020-02-20","Algeria","28.034","1.66","0","0","0","0"
"2020-02-21","Algeria","28.034","1.66","0","0","0","0"
"2020-02-22","Algeria","28.034","1.66","0","0","0","0"
"2020-02-23","Algeria","28.034","1.66","0","0","0","0"
"2020-02-24","Algeria","28.034","1.66","0","0","0","0"
"2020-02-25","Algeria","28.034","1.66","1","0","0","1"
"2020-02-26","Algeria","28.034","1.66","1","0","0","1"
"2020-02-27","Algeria","28.034","1.66","1","0","0","1"
"2020-02-28","Algeria","28.034","1.66","1","0","0","1"
"2020-02-29","Algeria","28.034","1.66","1","0","0","1"
"2020-03-01","Algeria","28.034","1.66","1","0","0","1"
"2020-03-02","Algeria","28.034","1.66","3","0","0","3"
"2020-03-03","Algeria","28.034","1.66","5","0","0","5"
"2020-03-04","Algeria","28.034","1.66","12","0","0","12"
"2020-03-05","Algeria","28.034","1.66","12","0","0","12"
"2020-03-06","Algeria","28.034","1.66","17","0","0","17"
"2020-03-07","Algeria","28.034","1.66","17","0","0","17"
"2020-03-08","Algeria","28.034","1.66","19","0","0","19"
"2020-03-09","Algeria","28.034","1.66","20","0","0","20"
"2020-03-10","Algeria","28.034","1.66","20","0","0","20"
"2020-03-11","Algeria","28.034","1.66","20","0","0","20"
"2020-03-12","Algeria","28.034","1.66","24","1","8","15"
"2020-03-13","Algeria","28.034","1.66","26","2","8","16"
"2020-03-14","Algeria","28.034","1.66","37","3","12","22"
"2020-03-15","Algeria","28.034","1.66","48","4","12","32"
"2020-03-16","Algeria","28.034","1.66","54","4","12","38"
"2020-03-17","Algeria","28.034","1.66","60","4","12","44"
"2020-03-18","Algeria","28.034","1.66","74","7","12","55"
"2020-03-19","Algeria","28.034","1.66","87","9","32","46"
"2020-03-20","Algeria","28.034","1.66","90","11","32","47"
"2020-03-21","Algeria","28.034","1.66","139","15","32","92"
"2020-03-22","Algeria","28.034","1.66","201","17","65","119"
"2020-03-23","Algeria","28.034","1.66","230","17","65","148"
"2020-03-24","Algeria","28.034","1.66","264","19","24","221"
"2020-03-25","Algeria","28.034","1.66","302","21","65","216"
"2020-03-26","Algeria","28.034","1.66","367","25","29","313"
"2020-03-27","Algeria","28.034","1.66","409","26","29","354"
"2020-03-28","Algeria","28.034","1.66","454","29","31","394"
"2020-03-29","Algeria","28.034","1.66","511","31","31","449"
"2020-03-30","Algeria","28.034","1.66","584","35","37","512"
"2020-03-31","Algeria","28.034","1.66","716","44","46","626"
"2020-04-01","Algeria","28.034","1.66","847","58","61","728"
"2020-04-02","Algeria","28.034","1.66","986","86","61","839"
"2020-04-03","Algeria","28.034","1.66","1171","105","62","1004"
"2020-04-04","Algeria","28.034","1.66","1251","130","90","1031"
"2020-04-05","Algeria","28.034","1.66","1320","152","90","1078"
"2020-04-06","Algeria","28.034","1.66","1423","173","90","1160"
"2020-04-07","Algeria","28.034","1.66","1468","193","113","1162"
